N,CPM,STAND
1,1267.2,0
2,1301.6,0
3,1087.5,0
4,2539.2,11.8
5,1836.9,11.8
6,1966,11.8
7,3515.7,24.8
8,2891.3,24.8
9,2948.6,24.8
10,11851,94.6
11,12173.1,94.6
12,12388.2,94.6
13,33547,328
14,34608.1,328
15,35185.4,328
16,67088.5,1210
17,68097.2,1210
18,65537.4,1210
19,4220.9,
20,4089.3,
21,4093.8,
22,13290.1,
23,14067.7,
24,13476.5,
25,34057.5,
26,32016.1,
27,33847.3,
28,2285.9,
29,2426.2,
30,2445.7,
31,2368.4,
32,2244.6,
33,2079.7,
34,2519.8,
35,2135.8,
36,2687.5,
37,2706.6,
38,2660.4,
39,2300.2,
40,2303.3,
41,2573.2,
42,2119,
43,2273.4,
44,2060.3,
45,2369.2,
46,1965.4,
47,2095.6,
48,2296.5,
49,2342.5,
50,2615.9,
51,2375.5,
52,2409.9,
53,2215,
54,2146.7,
55,2334.3,
56,1971.4,
57,1823.7,
58,1967.8,
59,1939.8,
